,date,day_name,app,cuenta
127,2015-05-08,5.Friday,Twitter,0.0
128,2015-05-09,6.Saturday,Twitter,0.0
129,2015-05-10,7.Sunday,Twitter,0.0
130,2015-05-11,1.Monday,Twitter,0.0
131,2015-05-12,2.Tuesday,Twitter,0.0
132,2015-05-13,3.Wednesday,Twitter,0.0
133,2015-05-14,4.Thursday,Twitter,0.0
134,2015-05-15,5.Friday,Twitter,0.0
135,2015-05-16,6.Saturday,Twitter,0.0
136,2015-05-17,7.Sunday,Twitter,0.0
137,2015-05-18,1.Monday,Twitter,0.0
138,2015-05-19,2.Tuesday,Twitter,0.0
139,2015-05-20,3.Wednesday,Twitter,0.0
140,2015-05-21,4.Thursday,Twitter,0.0
141,2015-05-22,5.Friday,Twitter,0.0
142,2015-05-23,6.Saturday,Twitter,0.0
143,2015-05-24,7.Sunday,Twitter,0.0
144,2015-05-25,1.Monday,Twitter,0.0
145,2015-05-26,2.Tuesday,Twitter,0.0
146,2015-05-27,3.Wednesday,Twitter,0.0
147,2015-05-28,4.Thursday,Twitter,0.0
148,2015-05-29,5.Friday,Twitter,0.0
149,2015-05-30,6.Saturday,Twitter,0.0
150,2015-05-31,7.Sunday,Twitter,0.0
151,2015-06-01,1.Monday,Twitter,0.0
152,2015-06-02,2.Tuesday,Twitter,0.0
153,2015-06-03,3.Wednesday,Twitter,0.0
154,2015-06-04,4.Thursday,Twitter,0.0
155,2015-06-05,5.Friday,Twitter,0.0
156,2015-06-06,6.Saturday,Twitter,0.0
157,2015-06-07,7.Sunday,Twitter,0.0
158,2015-06-08,1.Monday,Twitter,0.0
159,2015-06-09,2.Tuesday,Twitter,0.0
160,2015-06-10,3.Wednesday,Twitter,0.0
161,2015-06-11,4.Thursday,Twitter,0.0
162,2015-06-12,5.Friday,Twitter,0.0
163,2015-06-13,6.Saturday,Twitter,0.0
164,2015-06-14,7.Sunday,Twitter,0.0
165,2015-06-15,1.Monday,Twitter,0.0
166,2015-06-16,2.Tuesday,Twitter,0.0
167,2015-06-17,3.Wednesday,Twitter,0.0
168,2015-06-18,4.Thursday,Twitter,0.0
169,2015-06-19,5.Friday,Twitter,0.0
170,2015-06-20,6.Saturday,Twitter,0.0
171,2015-06-21,7.Sunday,Twitter,0.0
172,2015-06-22,1.Monday,Twitter,0.0
173,2015-06-23,2.Tuesday,Twitter,0.0
174,2015-06-24,3.Wednesday,Twitter,0.0
175,2015-06-25,4.Thursday,Twitter,0.0
176,2015-06-26,5.Friday,Twitter,0.0
177,2015-06-27,6.Saturday,Twitter,0.0
178,2015-06-28,7.Sunday,Twitter,0.0
179,2015-06-29,1.Monday,Twitter,0.0
180,2015-06-30,2.Tuesday,Twitter,0.0
181,2015-07-01,3.Wednesday,Twitter,0.0
182,2015-07-02,4.Thursday,Twitter,0.0
183,2015-07-03,5.Friday,Twitter,0.0
184,2015-07-04,6.Saturday,Twitter,0.0
185,2015-07-05,7.Sunday,Twitter,0.0
186,2015-07-06,1.Monday,Twitter,0.0
187,2015-07-07,2.Tuesday,Twitter,0.0
188,2015-07-08,3.Wednesday,Twitter,0.0
189,2015-07-09,4.Thursday,Twitter,0.0
190,2015-07-10,5.Friday,Twitter,0.0
191,2015-07-11,6.Saturday,Twitter,0.0
192,2015-07-12,7.Sunday,Twitter,0.0
193,2015-07-13,1.Monday,Twitter,0.0
194,2015-07-14,2.Tuesday,Twitter,0.0
195,2015-07-15,3.Wednesday,Twitter,0.0
196,2015-07-16,4.Thursday,Twitter,0.0
197,2015-07-17,5.Friday,Twitter,0.0
198,2015-07-18,6.Saturday,Twitter,0.0
199,2015-07-19,7.Sunday,Twitter,0.0
200,2015-07-20,1.Monday,Twitter,0.0
201,2015-07-21,2.Tuesday,Twitter,0.0
202,2015-07-22,3.Wednesday,Twitter,0.0
203,2015-07-23,4.Thursday,Twitter,0.0
204,2015-07-24,5.Friday,Twitter,0.0
205,2015-07-25,6.Saturday,Twitter,0.0
206,2015-07-26,7.Sunday,Twitter,0.0
207,2015-07-27,1.Monday,Twitter,0.0
208,2015-07-28,2.Tuesday,Twitter,0.0
209,2015-07-29,3.Wednesday,Twitter,0.0
210,2015-07-30,4.Thursday,Twitter,0.0
211,2015-07-31,5.Friday,Twitter,0.0
212,2015-08-01,6.Saturday,Twitter,0.0
213,2015-08-02,7.Sunday,Twitter,0.0
214,2015-08-03,1.Monday,Twitter,0.0
215,2015-08-04,2.Tuesday,Twitter,0.0
216,2015-08-05,3.Wednesday,Twitter,0.0
217,2015-08-06,4.Thursday,Twitter,0.0
218,2015-08-07,5.Friday,Twitter,0.0
219,2015-08-08,6.Saturday,Twitter,0.0
220,2015-08-09,7.Sunday,Twitter,0.0
221,2015-08-10,1.Monday,Twitter,0.0
222,2015-08-11,2.Tuesday,Twitter,0.0
223,2015-08-12,3.Wednesday,Twitter,0.0
224,2015-08-13,4.Thursday,Twitter,0.0
225,2015-08-14,5.Friday,Twitter,0.0
226,2015-08-15,6.Saturday,Twitter,0.0
227,2015-08-16,7.Sunday,Twitter,0.0
228,2015-08-17,1.Monday,Twitter,0.0
229,2015-08-18,2.Tuesday,Twitter,0.0
230,2015-08-19,3.Wednesday,Twitter,0.0
231,2015-08-20,4.Thursday,Twitter,0.0
232,2015-08-21,5.Friday,Twitter,0.0
233,2015-08-22,6.Saturday,Twitter,0.0
234,2015-08-23,7.Sunday,Twitter,0.0
235,2015-08-24,1.Monday,Twitter,0.0
236,2015-08-25,2.Tuesday,Twitter,0.0
237,2015-08-26,3.Wednesday,Twitter,0.0
238,2015-08-27,4.Thursday,Twitter,0.0
239,2015-08-28,5.Friday,Twitter,0.0
240,2015-08-29,6.Saturday,Twitter,0.0
241,2015-08-30,7.Sunday,Twitter,0.0
242,2015-08-31,1.Monday,Twitter,0.0
243,2015-09-01,2.Tuesday,Twitter,0.0
244,2015-09-02,3.Wednesday,Twitter,0.0
245,2015-09-03,4.Thursday,Twitter,0.0
246,2015-09-04,5.Friday,Twitter,0.0
247,2015-09-05,6.Saturday,Twitter,0.0
248,2015-09-06,7.Sunday,Twitter,0.0
249,2015-09-07,1.Monday,Twitter,0.0
250,2015-09-08,2.Tuesday,Twitter,0.0
251,2015-09-09,3.Wednesday,Twitter,0.0
252,2015-09-10,4.Thursday,Twitter,0.0
253,2015-09-11,5.Friday,Twitter,0.0
254,2015-09-12,6.Saturday,Twitter,0.0
255,2015-09-13,7.Sunday,Twitter,0.0
256,2015-09-14,1.Monday,Twitter,0.0
257,2015-09-15,2.Tuesday,Twitter,0.0
258,2015-09-16,3.Wednesday,Twitter,0.0
259,2015-09-17,4.Thursday,Twitter,0.0
260,2015-09-18,5.Friday,Twitter,0.0
261,2015-09-19,6.Saturday,Twitter,0.0
262,2015-09-20,7.Sunday,Twitter,0.0
263,2015-09-21,1.Monday,Twitter,0.0
264,2015-09-22,2.Tuesday,Twitter,0.0
265,2015-09-23,3.Wednesday,Twitter,0.0
266,2015-09-24,4.Thursday,Twitter,0.0
267,2015-09-25,5.Friday,Twitter,0.0
268,2015-09-26,6.Saturday,Twitter,0.0
269,2015-09-27,7.Sunday,Twitter,0.0
270,2015-09-28,1.Monday,Twitter,0.0
271,2015-09-29,2.Tuesday,Twitter,0.0
272,2015-09-30,3.Wednesday,Twitter,0.0
273,2015-10-01,4.Thursday,Twitter,0.0
274,2015-10-02,5.Friday,Twitter,0.0
275,2015-10-03,6.Saturday,Twitter,0.0
276,2015-10-04,7.Sunday,Twitter,0.0
277,2015-10-05,1.Monday,Twitter,0.0
278,2015-10-06,2.Tuesday,Twitter,0.0
279,2015-10-07,3.Wednesday,Twitter,0.0
280,2015-10-08,4.Thursday,Twitter,0.0
281,2015-10-09,5.Friday,Twitter,0.0
282,2015-10-10,6.Saturday,Twitter,0.0
283,2015-10-11,7.Sunday,Twitter,0.0
284,2015-10-12,1.Monday,Twitter,0.0
285,2015-10-13,2.Tuesday,Twitter,0.0
286,2015-10-14,3.Wednesday,Twitter,0.0
287,2015-10-15,4.Thursday,Twitter,0.0
288,2015-10-16,5.Friday,Twitter,0.0
289,2015-10-17,6.Saturday,Twitter,0.0
290,2015-10-18,7.Sunday,Twitter,0.0
291,2015-10-19,1.Monday,Twitter,0.0
292,2015-10-20,2.Tuesday,Twitter,0.0
293,2015-10-21,3.Wednesday,Twitter,0.0
294,2015-10-22,4.Thursday,Twitter,0.0
295,2015-10-23,5.Friday,Twitter,0.0
